society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
ats triumph,1.85,sector 104,8078.0,2290.17,Super Built up area 2290(212.75 sq.m.),3,3,3+,24,East,Relatively New,flat,2290.0,,,0,1,0,0,0,0,174
independent,8.0,sector 38,230547.0,347.0,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),10,10,3+,1,North,Undefined,house,,347.0,215.0,0,0,0,0,0,0,0
independent,0.9,sector 7,10000.0,900.0,Plot area 100(83.61 sq.m.),6,4,3,3,North-East,Old Property,house,,900.0,,0,1,0,0,1,2,44
huda ashok vihar phase,0.43,sector 4,6615.0,650.04,Carpet area: 650 (60.39 sq.m.),2,2,1,2,,Relatively New,flat,,,650.0,0,0,0,0,0,0,7
m3m woodshire,0.8,sector 107,5856.0,1366.12,Super Built up area 1366(126.91 sq.m.)Carpet area: 1055 sq.ft. (98.01 sq.m.),2,2,3+,6,West,Relatively New,flat,1366.0,,1055.0,0,0,0,1,0,2,174
unitech uniworld resorts,9.55,sector 33,19293.0,4950.0,Plot area 550(459.87 sq.m.),6,7,3+,2,East,Relatively New,house,,4950.0,,1,1,1,1,0,2,126
aipl the peaceful homes,2.6,sector 70a,12009.0,2165.04,Carpet area: 2165 (201.14 sq.m.),3,2,2,12,,Moderately Old,flat,,,2165.0,0,1,0,0,0,0,52
unitech nirvana birch court,6.8,sector 50,31481.0,2160.0,Plot area 240(200.67 sq.m.),4,4,3+,2,South-East,Old Property,house,,2160.0,,1,1,0,1,0,0,105
godrej oasis,1.19,sector 88a,10162.0,1171.03,Super Built up area 1628(151.25 sq.m.)Carpet area: 1171 sq.ft. (108.79 sq.m.),2,2,3,15,South-East,Relatively New,flat,1628.0,,1171.0,1,0,0,1,0,2,174
krisumi waterfall residences,2.3,sector 36a,15551.0,1479.0,Built Up area: 1479 (137.4 sq.m.),2,2,2,23,,Undefined,flat,,1479.0,,0,0,0,0,0,0,58
bestech park view residency,0.98,sector 2,6961.0,1407.84,Super Built up area 1415(131.46 sq.m.),2,2,3,0,East,Moderately Old,flat,1415.0,,,0,0,0,0,0,0,85
godrej nature plus,1.67,sector 33,10500.0,1590.48,Carpet area: 1671 (155.24 sq.m.),3,2,2,18,,Under Construction,flat,,,1671.0,0,0,0,0,0,0,67
sare green parc phase 3,0.95,sector 92,4856.0,1956.34,Super Built up area 1956(181.72 sq.m.),4,3,3,4,North,Moderately Old,flat,1956.0,,,0,0,0,0,0,0,67
ild grand,1.35,sector 37c,7142.0,1890.23,Built Up area: 1820 (169.08 sq.m.),3,3,0,1,,New Property,flat,,1820.0,,0,0,0,0,0,0,60
ss the leaf,1.3,sector 85,7926.0,1640.17,Super Built up area 1640(152.36 sq.m.),2,2,2,17,,New Property,flat,1640.0,,,0,0,0,0,0,0,90
sare crescent parc,0.87,sector 92,4971.0,1750.15,Super Built up area 1750(162.58 sq.m.),4,4,2,2,East,Moderately Old,flat,1750.0,,,0,0,1,0,0,1,115
raheja vedas,2.15,sector 108,4134.0,5200.77,Super Built up area 5200(483.1 sq.m.)Built Up area: 4600 sq.ft. (427.35 sq.m.)Carpet area: 4000 sq.ft. (371.61 sq.m.),3,4,3+,12,East,Relatively New,flat,5200.0,4600.0,4000.0,1,0,0,0,0,0,0
m3m merlin,4.5,sector 67,14267.0,3154.13,Super Built up area 3154(293.02 sq.m.),4,4,3+,15,South-West,Relatively New,flat,3154.0,,,0,1,0,0,0,2,158
ss the leaf,1.2,sector 85,7317.0,1640.02,Super Built up area 1640(152.36 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,14,East,Relatively New,flat,1640.0,,1148.0,0,0,1,0,0,0,141
dlf city plots phase 2,4.5,sector 25,33333.0,1350.0,Plot area 150(125.42 sq.m.),5,3,2,3,,Old Property,house,,1350.0,,0,0,1,1,0,0,25
emaar mgf emerald floors premier,2.85,sector 65,14430.0,1975.05,Super Built up area 1975(183.48 sq.m.),4,4,3+,0,West,Relatively New,flat,1975.0,,,1,1,0,0,0,2,151
independent,0.45,sector 13,4808.0,936.0,Built Up area: 936 (86.96 sq.m.),1,1,0,1,,Undefined,house,,936.0,,0,0,0,0,0,0,0
dlf the ultima,2.3,sector 81,14603.0,1575.02,Super Built up area 2100(195.1 sq.m.)Carpet area: 1575 sq.ft. (146.32 sq.m.),3,4,3+,27,East,Relatively New,flat,2100.0,,1575.0,0,1,0,0,0,2,119
m3m woodshire,1.02,sector 107,6649.0,1534.07,Super Built up area 1534(142.51 sq.m.),2,2,3,6,North-East,Relatively New,flat,1534.0,,,1,0,0,0,0,0,112
independent,3.3,sector 4,14667.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,1,North-East,Old Property,house,,2250.0,,0,0,0,0,0,0,34
m3m woodshire,1.49,sector 107,6310.0,2361.33,Super Built up area 2361(219.34 sq.m.),3,4,3+,5,East,Relatively New,flat,2361.0,,,0,1,1,0,0,2,174
ireo victory valley,4.55,sector 67,14536.0,3130.16,Super Built up area 3130(290.79 sq.m.),4,4,3+,19,South,Relatively New,flat,3130.0,,,0,1,0,0,0,2,156
unitech uniworld resorts,9.5,sector 33,23333.0,4071.0,Plot area 500(418.06 sq.m.),5,7,3+,2,East,Under Construction,house,,500.0,,1,1,1,1,0,0,57
dlf the skycourt,1.55,sector 86,8035.0,1929.06,Super Built up area 1929(179.21 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,12,North-East,Relatively New,flat,1929.0,1500.0,1300.0,0,0,0,0,1,1,166
suposhaa smartworld orchard,2.25,sector 61,14525.0,1549.05,Carpet area: 1549 (143.91 sq.m.),3,3,2,3,,Under Construction,flat,,,1549.0,0,0,0,0,0,0,0
krrish florence estate,1.25,sector 70,6703.0,1864.84,Super Built up area 1865(173.26 sq.m.),3,3,3,18,North-East,Under Construction,flat,1865.0,,,0,0,0,0,0,0,51
independent,3.5,sector 11,15555.0,2250.0,Built Up area: 2250 (209.03 sq.m.),10,1,0,1,,New Property,house,,2250.0,,0,0,0,0,0,0,0
ramprastha primera,1.2,sector 37d,13333.0,900.02,Carpet area: 900 (83.61 sq.m.),3,3,3,5,North-East,Relatively New,flat,,,900.0,0,0,1,0,0,0,50
whiteland blissville,1.9,sector 76,11363.0,1672.09,Super Built up area 1672(155.33 sq.m.),3,3,2,0,,Under Construction,flat,1672.0,,,0,0,0,0,0,0,61
vatika gurgaon,1.42,sector 83,8875.0,1600.0,Super Built up area 2390(222.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,4,3,7,South-West,Relatively New,flat,2390.0,2000.0,1600.0,1,1,0,0,0,0,103
godrej nature plus,1.5,sector 33,9677.0,1550.07,Super Built up area 1550(144 sq.m.),3,3,3,6,East,Under Construction,flat,1550.0,,,1,0,0,0,0,0,72
umang monsoon breeze,1.15,sector 37,5284.0,2176.38,Super Built up area 2176(202.16 sq.m.),3,3,3,9,,Moderately Old,flat,2176.0,,,0,1,0,0,1,0,22
independent,9.25,sector 31,39530.0,2340.0,Plot area 265(221.57 sq.m.)Built Up area: 262 sq.yards (219.07 sq.m.)Carpet area: 260 sq.yards (217.39 sq.m.),12,12,3+,4,North-East,New Property,house,,262.0,260.0,0,1,0,1,1,1,49
park view apartment,1.74,sector 56,7565.0,2300.07,Super Built up area 2450(227.61 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),3,3,3+,2,South,Old Property,flat,2450.0,2400.0,2300.0,0,1,0,1,0,2,104
godrej,1.41,sector 79,9000.0,1566.67,Carpet area: 1572 (146.04 sq.m.),2,2,3,3,,New Property,flat,,,1572.0,1,0,0,0,0,0,104
vatika inxt floors,0.75,sector 82a,7500.0,1000.0,Built Up area: 1000 (92.9 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2,2,2,1,,Undefined,flat,,1000.0,650.0,0,0,0,0,0,0,0
dlf the ultima,2.25,sector 81,10553.0,2132.1,Super Built up area 2132(198.07 sq.m.),3,3,3+,15,North-East,Relatively New,flat,2132.0,,,0,1,0,0,0,1,165
sidhartha ncr one phase,0.6,sector 95,4800.0,1250.0,Built Up area: 1250 (116.13 sq.m.),2,2,3,10,North-East,Undefined,flat,,1250.0,,0,0,0,0,0,0,0
sare crescent parc,0.82,sector 92,5384.0,1523.03,Built Up area: 1523 (141.49 sq.m.),3,3,3+,12,West,Undefined,flat,,1523.0,,0,0,0,0,0,0,0
silverglades the melia,0.75,sohna road,5555.0,1350.14,Built Up area: 1350 (125.42 sq.m.),2,2,2,4,,Moderately Old,flat,,1350.0,,0,0,0,0,0,0,70
m3m merlin,2.65,sector 67,12945.0,2047.12,Super Built up area 2047(190.17 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,0,North-East,Relatively New,flat,2047.0,1900.0,1700.0,0,0,0,0,1,2,174
piedmont taksila heights,1.05,sector 37c,4792.0,2191.15,Super Built up area 1920(178.37 sq.m.),3,3,3,7,,Relatively New,flat,1920.0,,,0,0,0,0,0,2,81
the lions cghs,2.09,sector 56,8708.0,2400.09,Super Built up area 2400(222.97 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3+,7,East,Relatively New,flat,2400.0,2300.0,2200.0,0,0,0,0,1,2,125
chd avenue,1.4,sector 71,7945.0,1762.11,Carpet area: 1762 (163.7 sq.m.),3,3,2,1,South-East,Moderately Old,flat,,,1762.0,0,0,0,1,0,2,125
independent,4.7,sector 57,21759.0,2160.0,Plot area 240(200.67 sq.m.),3,3,2,2,North,Old Property,house,,2160.0,,0,1,0,0,1,0,43
unitech sunbreeze,0.75,sector 69,6849.0,1095.05,Super Built up area 1095(101.73 sq.m.),2,2,2,4,,Under Construction,flat,1095.0,,,0,0,0,0,0,0,0
gls avenue 51,0.39,sector 92,6077.0,641.76,Carpet area: 641.74 (59.62 sq.m.),3,3,3+,6,North,Relatively New,flat,,,641.743718,0,0,0,0,0,0,104
ats triumph,2.78,sector 104,8825.0,3150.14,Super Built up area 3150(292.64 sq.m.),4,4,3+,11,South,Relatively New,flat,3150.0,,,0,1,0,0,0,0,110
independent,2.25,sector 7,16892.0,1332.0,Built Up area: 148 (123.75 sq.m.),5,3,0,2,,Undefined,house,,148.0,,0,0,0,0,0,0,0
hcbs sports ville,0.35,sector 2,4375.0,800.0,Built Up area: 800 (74.32 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,2,8,East,Relatively New,flat,,800.0,600.0,0,0,0,0,0,0,37
spaze privy,1.9,sector 72,9620.0,1975.05,Built Up area: 1975 (183.48 sq.m.),3,3,3,10,,Undefined,flat,,1975.0,,0,0,0,0,0,0,0
bestech spa signature,4.4,sector 81,12571.0,3500.12,Super Built up area 4200(390.19 sq.m.)Built Up area: 3700 sq.ft. (343.74 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,3+,6,South-West,New Property,flat,4200.0,3700.0,3500.0,1,1,0,1,1,1,49
sare crescent parc,1.0,sector 92,5128.0,1950.08,Carpet area: 1950 (181.16 sq.m.),4,3,2,1,East,Relatively New,flat,,,1950.0,0,0,0,0,0,0,49
ansals palam vihar,5.7,sector 2,14729.0,3870.0,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),5,5,2,2,North-East,Old Property,house,,4550.0,4450.0,0,0,0,1,0,1,94
international city by sobha phase 1,6.15,sector 109,27333.0,2250.0,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,3,West,Relatively New,house,,270.0,250.0,0,1,1,1,0,2,130
independent,6.46,sector 14,18889.0,3420.0,Plot area 380(317.73 sq.m.)Built Up area: 380 sq.yards (317.73 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),5,5,2,3,East,Moderately Old,house,,380.0,300.0,1,1,0,1,0,2,27
shree vardhman flora,0.66,sector 90,5076.0,1300.24,Super Built up area 1300(120.77 sq.m.)Carpet area: 960 sq.ft. (89.19 sq.m.),2,2,3,4,North-East,Relatively New,flat,1300.0,,960.0,1,0,0,0,0,0,119
unitech espace,11.29,sector 50,34846.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,2,,Moderately Old,house,,3240.0,,1,0,0,1,0,0,21
dlf new town heights,1.65,sector 90,6979.0,2364.24,Super Built up area 2364(219.62 sq.m.),4,4,3+,15,South-East,Moderately Old,flat,2364.0,,,0,1,0,0,0,2,137
godrej summit,0.85,sector 104,6896.0,1232.6,Carpet area: 1450 (134.71 sq.m.),2,2,3,12,,Relatively New,flat,,,1450.0,1,0,0,0,1,0,61
earth copia,0.7,sector 112,4673.0,1497.97,Built Up area: 1498 (139.17 sq.m.),2,2,2,4,East,Relatively New,flat,,1498.0,,0,0,0,0,0,0,65
apartment,0.75,sector 92,4687.0,1600.17,Carpet area: 1600 (148.64 sq.m.),3,4,3,2,East,Moderately Old,flat,,,1600.0,1,0,0,0,0,0,113
unitech uniworld resorts,9.5,sector 33,173992.0,546.0,Plot area 546(50.73 sq.m.),6,6,3+,3,North-East,Moderately Old,house,,546.0,,0,0,0,0,0,2,40
conscient elevate,4.25,sector 59,18518.0,2295.06,Super Built up area 2295(213.21 sq.m.),3,4,3,3,,Under Construction,flat,2295.0,,,0,0,0,0,0,0,0
sare crescent parc,0.7,sector 92,5556.0,1259.9,Built Up area: 140 (117.06 sq.m.),3,3,2,14,,Under Construction,flat,,140.0,,0,0,0,0,0,0,38
zara aavaas,0.26,sector 104,7807.0,333.03,Built Up area: 301 (27.96 sq.m.),1,1,2,0,North-East,Relatively New,flat,,301.0,,0,0,0,0,0,0,91
shree vardhman victoria,1.55,sector 70,7948.0,1950.18,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,8,South,Relatively New,flat,1950.0,,1161.0,0,1,0,0,0,0,174
ild greens,0.9,sector 37c,5614.0,1603.14,Super Built up area 1603(148.92 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.),3,3,3,0,North-East,Under Construction,flat,1603.0,1500.0,,0,0,0,0,0,0,66
tulip purple,2.6,sector 69,10833.0,2400.07,Super Built up area 2400(222.97 sq.m.),4,4,3+,4,,Moderately Old,flat,2400.0,,,0,1,0,0,0,0,37
vatika the seven lamps,0.85,sector 82,5979.0,1421.64,Super Built up area 1430(132.85 sq.m.),2,2,2,9,North-East,Relatively New,flat,1430.0,,,1,0,0,0,0,0,117
sector 38 rwa,1.4,sector 38,23932.0,585.0,Plot area 65(54.35 sq.m.)Built Up area: 62 sq.yards (51.84 sq.m.)Carpet area: 60 sq.yards (50.17 sq.m.),8,8,3,4,East,Moderately Old,house,,62.0,60.0,0,0,0,0,1,2,40
ardee city,1.5,sector 52,9146.0,1640.06,Super Built up area 1640(152.36 sq.m.),4,4,3,3,,Old Property,flat,1640.0,,,0,0,0,0,0,0,65
bestech park view residency,1.4,sector 2,7865.0,1780.04,Super Built up area 1780(165.37 sq.m.),3,3,3+,8,South-West,Moderately Old,flat,1780.0,,,0,0,0,0,0,0,92
vatika gurgaon,1.12,sector 83,6455.0,1735.09,Super Built up area 1735(161.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,17,South,Moderately Old,flat,1735.0,1500.0,1400.0,0,0,0,0,0,2,111
pyramid urban homes 2,0.5,sector 86,9615.0,520.02,Carpet area: 520 (48.31 sq.m.),2,2,1,10,,Relatively New,flat,,,520.0,0,0,0,0,0,0,15
tulip yellow,1.8,sector 69,10563.0,1704.06,Carpet area: 1704 (158.31 sq.m.),3,3,3,14,East,Under Construction,flat,,,1704.0,0,0,0,0,0,0,49
ss the leaf,1.15,sector 85,10017.0,1148.05,Super Built up area 1640(152.36 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,18,East,Relatively New,flat,1640.0,,1148.0,0,0,1,0,0,0,156
pivotal devaan,0.34,sector 84,7039.0,483.02,Carpet area: 483 (44.87 sq.m.),2,2,1,1,East,Relatively New,flat,,,483.0,0,0,1,0,0,2,84
lavanya apartments,0.9,sector 81,5056.0,1780.06,Built Up area: 1780 (165.37 sq.m.),3,3,0,7,,Undefined,flat,,1780.0,,0,0,0,0,0,0,0
ansal heights 86,1.3,sector 86,4666.0,2786.11,Super Built up area 2786(258.83 sq.m.),4,6,2,11,East,New Property,flat,2786.0,,,0,1,0,0,1,0,86
tulip orange,1.1,sector 70,8148.0,1350.02,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1080 sq.ft. (100.34 sq.m.),3,2,2,5,East,Undefined,flat,,1350.0,1080.0,0,0,0,0,0,0,0
independent,1.0,sector 2,8230.0,1215.0,Plot area 135(112.88 sq.m.),9,7,3+,3,North,Moderately Old,house,,1215.0,,0,0,0,1,0,0,0
independent,9.9,sector 25,29333.0,3375.0,Plot area 375(313.55 sq.m.),5,5,2,2,South-East,Moderately Old,house,,3375.0,,0,0,0,1,0,2,106
tulip monsella,5.6,sector 53,19363.0,2892.11,Super Built up area 2892(268.68 sq.m.),3,3,3+,1,,Under Construction,flat,2892.0,,,0,0,0,0,0,0,42
unitech uniworld gardens,2.15,sector 47,10306.0,2086.16,Super Built up area 2086(193.8 sq.m.)Built Up area: 1950 sq.ft. (181.16 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3+,10,East,Moderately Old,flat,2086.0,1950.0,1750.0,0,1,0,0,0,0,49
vatika the seven lamps,0.78,sector 82,5932.0,1314.9,Super Built up area 1298(120.59 sq.m.),2,2,2,0,North-West,Relatively New,flat,1298.0,,,0,0,0,0,0,2,103
ardee city,2.25,sector 52,16071.0,1400.0,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,4,South-East,New Property,house,,1800.0,1400.0,0,1,0,0,0,2,22
ireo the grand arch,3.83,sector 58,21577.0,1775.04,Super Built up area 2164(201.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1775 sq.ft. (164.9 sq.m.),3,4,2,10,North-East,Relatively New,flat,2164.0,2000.0,1775.0,1,1,0,0,0,2,174
m3m soulitude,1.33,sector 89,16985.0,783.04,Built Up area: 1423 (132.2 sq.m.)Carpet area: 783 sq.ft. (72.74 sq.m.),3,3,3,4,North-West,Under Construction,flat,,1423.0,783.0,1,0,0,0,0,0,125
bestech altura,2.69,sector 79,12500.0,2152.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,3,,New Property,flat,2150.0,,,0,1,0,0,0,0,49
independent,4.25,sector 41,26235.0,1620.0,Plot area 180(150.5 sq.m.),10,9,3+,4,North,Moderately Old,house,,1620.0,,1,1,0,0,0,2,36
ansals duplex flat,0.95,sector 2,7307.0,1300.12,Carpet area: 1300 (120.77 sq.m.),2,3,2,1,North-East,Old Property,flat,,,1300.0,1,0,0,0,0,2,20
dlf regal gardens,1.29,sector 90,7103.0,1816.13,Super Built up area 1818(168.9 sq.m.)Built Up area: 1817 sq.ft. (168.8 sq.m.)Carpet area: 1816 sq.ft. (168.71 sq.m.),3,3,3+,12,South-East,Relatively New,flat,1818.0,1817.0,1816.0,0,1,0,0,0,0,152
aipl the peaceful homes,2.5,sector 70a,11627.0,2150.17,Super Built up area 2150(199.74 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3+,15,North-East,Relatively New,flat,2150.0,,1350.0,0,0,0,0,1,2,174
ats triumph,1.75,sector 104,7641.0,2290.28,Super Built up area 2290(212.75 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,4,3+,12,North-West,Relatively New,flat,2290.0,,1800.0,1,1,0,1,1,2,21
godrej summit,0.82,sector 104,9854.0,832.15,Carpet area: 77.31,2,2,3,12,,Relatively New,flat,,,77.31,1,0,0,0,0,0,120
ss the coralwood,1.01,sector 84,5771.0,1750.13,Super Built up area 1750(162.58 sq.m.)Built Up area: 1475 sq.ft. (137.03 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,18,North-West,Relatively New,flat,1750.0,1475.0,1350.0,0,0,0,0,0,0,40
independent,4.5,sector 11,25000.0,1800.0,Plot area 200(167.23 sq.m.),16,16,3+,4,South,Relatively New,house,,1800.0,,0,0,0,0,0,2,20
ss the leaf,1.04,sector 85,5973.0,1741.17,Super Built up area 1741(161.74 sq.m.),2,3,3+,4,West,Relatively New,flat,1741.0,,,0,0,1,0,0,0,113
independent,1.35,sector 7,40909.0,330.0,Built Up area: 330 (30.66 sq.m.),4,5,0,3,,Undefined,house,,330.0,,0,0,0,0,0,0,0
m3m woodshire,1.7,sector 107,6141.0,2768.28,Super Built up area 2768(257.16 sq.m.),4,5,3+,9,South,Relatively New,flat,2768.0,,,0,1,0,0,0,0,79
sobha city,3.25,sector 108,15685.0,2072.04,Super Built up area 2072(192.5 sq.m.),3,3,3,12,North,Relatively New,flat,2072.0,,,0,0,0,0,0,0,99
dlf ridgewood estate,2.0,sector 28,14598.0,1370.05,Super Built up area 1370(127.28 sq.m.),3,3,1,12,North-East,Old Property,flat,1370.0,,,0,0,0,0,0,2,96
independent,0.65,sector 105,9028.0,720.0,Plot area 80(66.89 sq.m.),3,2,1,1,East,Relatively New,house,,720.0,,0,0,0,1,1,0,14
pyramid urban homes 2,0.43,sector 86,8582.0,501.05,Carpet area: 501 (46.54 sq.m.),2,2,1,6,North-East,New Property,flat,,,501.0,1,0,0,0,0,0,92
smart world gems,1.71,sector 89,12000.0,1425.0,Built Up area: 1423 (132.2 sq.m.),3,2,0,3,,Undefined,flat,,1423.0,,0,0,0,0,0,0,45
independent,1.52,sector 17a,19869.0,765.0,Plot area 85(71.07 sq.m.)Built Up area: 105 sq.yards (87.79 sq.m.),2,2,1,1,South-East,Old Property,house,,105.0,,0,0,0,0,0,0,22
independent,2.55,sector 43,13178.0,1935.0,Built Up area: 215 (179.77 sq.m.),3,3,2,3,,Relatively New,house,,215.0,,0,0,0,0,0,2,60
experion the heartsong,0.98,sector 108,13343.0,734.47,Super Built up area 1283(119.19 sq.m.)Built Up area: 978.23 sq.ft. (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,4,East,Relatively New,flat,1283.0,978.23,734.43,1,0,0,0,0,0,135
assotech blith,1.9,sector 99,6702.0,2834.97,Built Up area: 2835 (263.38 sq.m.),4,4,3+,2,North-East,Undefined,flat,,2835.0,,0,0,0,0,0,0,51
suncity township,25.0,sector 54,31111.0,8036.0,Plot area 1000(836.13 sq.m.),4,4,3+,2,North,Moderately Old,house,,1000.0,,1,1,1,1,0,0,0
uphaar residency 2,0.42,sector 105,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),3,2,1,0,East,Moderately Old,flat,,,750.0,0,0,0,0,1,0,7
signature global the millennia 3,0.45,sector 37d,7627.0,590.01,Carpet area: 590 (54.81 sq.m.),2,3,2,8,,Under Construction,flat,,,590.0,0,0,0,0,0,0,8
dlf garden city floors,1.7,sector 92,8588.0,1979.51,Super Built up area 1630(151.43 sq.m.),3,4,2,1,,Under Construction,flat,1630.0,,,0,0,0,0,0,0,63
paras dews,0.97,sector 106,8818.0,1100.02,Super Built up area 1385(128.67 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,3,6,North-East,New Property,flat,1385.0,1200.0,1100.0,0,0,0,1,0,2,174
signature global city 81,0.8,sector 81,14652.0,546.0,Carpet area: 546 (50.73 sq.m.),2,2,2,4,North,Under Construction,flat,,,546.0,1,0,0,0,0,0,36
shapoorji pallonji joyville gurugram,1.8,sector 102,10638.0,1692.05,Super Built up area 1692(157.19 sq.m.),3,3,3,1,East,Relatively New,flat,1692.0,,,0,0,0,0,0,0,141
dlf park place,5.75,sector 54,24688.0,2329.07,Super Built up area 2329(216.37 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,4,3,12,North-East,Relatively New,flat,2329.0,1900.0,1700.0,0,1,0,0,0,1,174
mrg world ultimus,0.5,sector 90,6983.0,716.02,Carpet area: 716 (66.52 sq.m.),2,2,2,1,North-East,Under Construction,flat,,,716.0,0,0,0,0,0,0,21
vatika gurgaon,1.33,sector 83,5564.0,2390.37,Super Built up area 2390(222.04 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4,4,3,3,East,Relatively New,flat,2390.0,,2000.0,0,1,0,0,0,0,26
independent,8.9,sector 26,32963.0,2700.0,Plot area 300(250.84 sq.m.),4,4,3+,2,South-East,Old Property,house,,2700.0,,1,1,1,1,0,0,82
smart world gems,0.85,sector 89,7706.0,1103.04,Carpet area: 1103 (102.47 sq.m.),2,2,2,2,North-East,Under Construction,flat,,,1103.0,1,0,0,0,0,0,45
sare crescent parc,0.8,sector 92,4210.0,1900.24,Super Built up area 1900(176.52 sq.m.),4,3,2,10,East,Relatively New,flat,1900.0,,,0,0,0,0,1,0,37
independent,1.0,sector 12,74074.0,135.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9,7,3+,3,North,Moderately Old,house,,3750.0,,0,0,1,1,0,0,7
dlf the skycourt,1.6,sector 86,8294.0,1929.11,Super Built up area 1929(179.21 sq.m.)Built Up area: 1548 sq.ft. (143.81 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,9,North-East,Relatively New,flat,1929.0,1548.0,1300.0,0,0,0,0,1,2,167
gls arawali homes,0.35,sohna road,7000.0,500.0,Super Built up area 567(52.68 sq.m.)Built Up area: 556 sq.ft. (51.65 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2,2,2,5,,Relatively New,flat,567.0,556.0,500.0,0,0,0,0,0,0,30
ss the leaf,1.1,sector 85,12471.0,882.05,Super Built up area 1640(152.36 sq.m.)Built Up area: 1173 sq.ft. (108.98 sq.m.)Carpet area: 882 sq.ft. (81.94 sq.m.),2,2,3,12,North,Relatively New,flat,1640.0,1173.0,882.0,1,0,0,0,0,0,75
m3m golfestate,7.0,sector 65,18181.0,3850.17,Carpet area: 3850 (357.68 sq.m.),3,3,2,12,North,Moderately Old,flat,,,3850.0,0,0,1,0,0,0,60
dlf regal gardens,1.75,sector 90,7900.0,2215.19,Super Built up area 2215(205.78 sq.m.),4,4,3+,3,East,Relatively New,flat,2215.0,,,0,0,0,0,1,0,6
independent,0.89,sector 81,8127.0,1095.0,Built Up area: 1095 (101.73 sq.m.),1,1,0,1,,Undefined,house,,1095.0,,0,0,0,0,0,0,0
kendriya vihar,0.55,sector 56,9016.0,610.03,Carpet area: 610 (56.67 sq.m.),1,2,1,0,,Old Property,flat,,,610.0,0,0,0,0,0,0,68
ss almeria,1.48,sector 84,7400.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1294 sq.ft. (120.22 sq.m.),3,3,2,1,South-West,New Property,flat,2000.0,,1294.0,0,1,1,0,0,2,139
m3m woodshire,0.82,sector 107,6002.0,1366.21,Super Built up area 1366(126.91 sq.m.),2,2,3+,7,North-East,Relatively New,flat,1366.0,,,0,0,0,0,0,0,111
