society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
laxmi pareena,0.3,sector 99a,6666.0,450.05,Carpet area: 450 (41.81 sq.m.),2,1,0,12.0,North,Undefined,flat,,,450.0,0,0,0,0,0,0,0,225.025
bptp terra,1.45,sector 37d,8006.0,1811.14,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,8.0,South-East,Relatively New,flat,1811.0,1711.0,1611.0,0,0,0,0,0,0,149,603.7133333333334
aipl zen residences,1.4,sector 70a,11094.0,1261.94,Built Up area: 1262 (117.24 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,2,16.0,North-East,Undefined,flat,,1262.0,800.0,0,0,0,0,0,0,0,630.97
sare homes,0.5,sector 92,4237.0,1180.08,Super Built up area 1180(109.63 sq.m.),3,3,2,1.0,North,Relatively New,flat,1180.0,,,0,0,0,0,0,0,26,393.35999999999996
mapsko mount ville,1.55,sector 79,8539.0,1815.2,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3,11.0,South-West,Relatively New,flat,1815.0,,1071.33,0,1,0,0,0,2,152,605.0666666666667
independent,19.5,sector 2,27083.0,7200.0,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,New Property,house,,7200.0,,1,1,0,1,0,0,122,900.0
raheja revanta,4.75,sector 78,16885.0,2813.15,Built Up area: 2813 (261.34 sq.m.),3,3,2,31.0,,Under Construction,flat,,2813.0,,0,1,0,0,0,0,100,937.7166666666667
dlf regency park,2.35,sector 28,13224.0,1777.07,Super Built up area 1777(165.09 sq.m.),3,3,2,18.0,North-East,Old Property,flat,1777.0,,,0,1,0,0,0,0,120,592.3566666666667
antriksh heights,0.79,sector 84,4579.0,1725.27,Super Built up area 1725(160.26 sq.m.),3,3,3+,8.0,West,New Property,flat,1725.0,,,0,0,0,0,0,0,24,575.09
emaar mgf emerald floors premier,2.36,sector 65,14303.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,0.0,North-East,Relatively New,flat,1650.0,,,1,1,0,0,0,2,159,550.0
parsvnath green ville,3.3,sector 48,9984.0,3305.29,Super Built up area 3905(362.79 sq.m.)Built Up area: 3305 sq.ft. (307.04 sq.m.),5,5,3+,4.0,,Old Property,flat,3905.0,3305.0,,0,1,0,0,0,0,71,661.058
tata primanti,3.4,sector 72,15560.0,2185.09,Super Built up area 2185(202.99 sq.m.),3,4,3+,9.0,,Moderately Old,flat,2185.0,,,0,1,0,0,0,0,38,728.3633333333333
ats tourmaline,1.4,sector 109,8000.0,1750.0,Super Built up area 1750(162.58 sq.m.),3,3,3+,9.0,East,Relatively New,flat,1750.0,,,0,0,0,0,0,0,95,583.3333333333334
orris aster court,0.69,sector 85,5221.0,1321.59,Super Built up area 1312(121.89 sq.m.)Built Up area: 1075 sq.ft. (99.87 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),2,2,2,5.0,South-West,Relatively New,flat,1312.0,1075.0,975.0,0,0,0,0,0,0,37,660.795
vatika gurgaon,0.84,sector 83,6746.0,1245.18,Super Built up area 1245(115.66 sq.m.),2,2,2,7.0,East,Moderately Old,flat,1245.0,,,0,0,0,0,0,2,157,622.59
antriksh heights,1.02,sector 84,4868.0,2095.32,Super Built up area 2095(194.63 sq.m.),4,4,3+,11.0,North,Relatively New,flat,2095.0,,,0,1,0,1,0,0,99,523.83
nitin vihar,0.85,sector 33,9444.0,900.0,Plot area 900(83.61 sq.m.),3,2,0,1.0,West,Relatively New,house,,900.0,,0,0,0,0,0,0,15,300.0
ss the leaf,2.15,sector 85,7645.0,2812.3,Super Built up area 2812(261.24 sq.m.),4,5,3+,1.0,South,Relatively New,flat,2812.0,,,0,1,0,0,0,0,165,703.075
signature global solera,0.36,sector 107,5980.0,602.01,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2,2,1,7.0,North-West,Relatively New,flat,602.0,598.0,546.0,0,0,0,0,1,0,49,301.005
palam vihar extension west zone rwa,0.35,sector 2,6481.0,540.0,Plot area 600(55.74 sq.m.)Carpet area: 540 sq.ft. (50.17 sq.m.),2,2,0,1.0,North-East,New Property,house,,,540.0,0,0,0,0,0,0,0,270.0
supertech araville,0.9,sector 79,6950.0,1294.96,Built Up area: 1295 (120.31 sq.m.),2,2,0,12.0,,Undefined,flat,,1295.0,,0,0,0,0,0,0,0,647.48
godrej frontier,1.4,sector 80,6189.0,2262.08,Super Built up area 2262(210.15 sq.m.)Built Up area: 1922 sq.ft. (178.56 sq.m.)Carpet area: 1634 sq.ft. (151.8 sq.m.),3,4,2,6.0,South,Moderately Old,flat,2262.0,1922.0,1634.0,0,1,0,1,0,0,111,754.0266666666666
takshila heights sector 37 c,0.67,new,5583.0,1200.07,Super Built up area 1200(111.48 sq.m.),2,2,2,3.0,,Relatively New,flat,1200.0,,,0,0,0,0,0,0,23,600.035
corona gracieux,1.08,sector 76,5510.0,1960.07,Super Built up area 1960(182.09 sq.m.),3,3,3,1.0,,New Property,flat,1960.0,,,0,1,0,0,0,0,58,653.3566666666667
awho shanti vihar,0.8,sector 95,8888.0,900.09,Super Built up area 900(83.61 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,3,9.0,East,New Property,flat,900.0,,550.0,1,0,0,0,0,0,67,450.045
pioneer araya,9.95,sector 62,20995.0,4739.22,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4,6,3,12.0,South-East,Relatively New,flat,4739.0,,3219.0,0,1,0,1,0,2,138,1184.805
sanskriti apartment,1.1,sector 10a,6666.0,1650.17,Carpet area: 1650 (153.29 sq.m.),3,3,3,2.0,,Moderately Old,flat,,,1650.0,0,0,0,0,0,0,22,550.0566666666667
dlf the skycourt,1.6,sector 86,8294.0,1929.11,Super Built up area 1929(179.21 sq.m.),3,3,1,14.0,North-East,Relatively New,flat,1929.0,,,0,0,0,1,0,0,72,643.0366666666666
shivpuri,2.4,sector 7,8889.0,2700.0,Plot area 300(250.84 sq.m.),10,5,3,2.0,North,Old Property,house,,2700.0,,1,1,0,1,0,0,8,270.0
bestech park view spa next,2.35,sector 67,12144.0,1935.11,Super Built up area 1935(179.77 sq.m.),3,4,3+,14.0,South-West,Moderately Old,flat,1935.0,,,0,1,0,0,0,2,156,645.0366666666666
signature global park,0.54,sohna road,7200.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,North-East,Under Construction,flat,,,750.0,0,0,0,0,0,0,111,375.0
ansal api esencia,1.2,sector 67,7407.0,1620.09,Carpet area: 180 (150.5 sq.m.),3,3,2,1.0,,Undefined,flat,,,180.0,0,0,0,0,0,0,49,540.03
unitech uniworld resorts,10.0,sector 33,20202.0,4950.0,Plot area 550(51.1 sq.m.),5,6,3,4.0,North-East,New Property,house,,550.0,,1,1,0,0,0,0,26,990.0
nul,15.0,sector 25,23438.0,6400.0,Built Up area: 6400 (594.58 sq.m.),5,5,3,2.0,West,Moderately Old,house,,6400.0,,1,1,0,1,0,2,112,1280.0
indiabulls centrum park,1.15,sector 103,8679.0,1325.04,Super Built up area 1325(123.1 sq.m.)Carpet area: 865 sq.ft. (80.36 sq.m.),2,2,3,10.0,North-East,Relatively New,flat,1325.0,,865.0,1,0,0,0,0,2,174,662.52
signature global park,0.67,sohna road,5537.0,1210.04,Super Built up area 1210(112.41 sq.m.),2,2,3,4.0,North-East,Relatively New,flat,1210.0,,,0,0,0,1,0,0,127,605.02
