society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
ramprastha skyz,1.1,sector 37d,6376.0,1725.22,Super Built up area 1725(160.26 sq.m.),3,3,3+,7.0,East,Under Construction,flat,1725.0,,,0,0,0,0,0,0,109,575.0733333333334
mvn athens,0.27,sohna road,5901.0,457.55,Carpet area: 457.52 (42.5 sq.m.),2,2,1,0.0,,Relatively New,flat,,,457.46575,0,0,0,0,0,2,69,228.775
supertech araville,0.71,sector 79,6061.0,1171.42,Super Built up area 1295(120.31 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,3+,17.0,North,New Property,flat,1295.0,,1250.0,0,0,0,0,1,0,53,585.71
eldeco accolade,0.72,sohna road,5735.0,1255.45,Carpet area: 1264 (117.43 sq.m.),2,2,3,8.0,West,Relatively New,flat,,,1264.0,0,0,0,0,0,0,153,627.725
unitech south city,5.88,sector 50,27222.0,2160.0,Plot area 240(200.67 sq.m.),3,9,3+,3.0,East,Relatively New,house,,2160.0,,1,1,0,1,1,1,128,720.0
indiabulls enigma,3.4,sector 110,10000.0,3400.0,Super Built up area 3400(315.87 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,5,3,10.0,South-West,Relatively New,flat,3400.0,3000.0,2800.0,0,1,0,0,0,0,152,850.0
shree vardhman victoria,1.65,sector 70,8461.0,1950.12,Super Built up area 1950(181.16 sq.m.),3,4,3,12.0,North,Relatively New,flat,1950.0,,,0,1,1,0,0,0,56,650.04
eldeco mansionz,4.75,sector 48,20299.0,2340.0,Plot area 260(217.39 sq.m.),7,7,3,2.0,North-East,Moderately Old,house,,2340.0,,1,0,0,0,0,2,33,334.2857142857143
hsiidc sidco aravali,0.81,manesar,3129.0,2588.69,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1877 sq.ft. (174.38 sq.m.),3,3,3+,2.0,South-West,Moderately Old,flat,2588.0,1900.0,1877.0,0,1,0,0,0,0,74,862.8966666666666
puri diplomatic greens,2.58,sector 111,11727.0,2200.05,Super Built up area 2200(204.39 sq.m.),3,4,2,10.0,North,Moderately Old,flat,2200.0,,,0,1,0,0,0,0,86,733.35
vatika lifestyle homes,1.05,sector 83,5982.0,1755.27,Super Built up area 1755(163.04 sq.m.),3,3,2,14.0,South-West,Relatively New,flat,1755.0,,,1,1,1,1,0,2,174,585.09
umang monsoon breeze,1.05,sector 78,5666.0,1853.16,Built Up area: 1853 (172.15 sq.m.)Carpet area: 1390 sq.ft. (129.14 sq.m.),3,3,3,6.0,North,Moderately Old,flat,,1853.0,1390.0,0,0,0,0,0,0,0,617.72
independent,14.0,sector 43,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately Old,house,,3510.0,,0,1,0,0,0,0,7,390.0
paras irene,1.3,sector 70a,9219.0,1410.13,Super Built up area 1420(131.92 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),2,2,3,19.0,,Moderately Old,flat,1420.0,,1410.0,0,0,0,0,0,2,49,705.065
bptp freedom park life,2.5,sector 57,11111.0,2250.02,Super Built up area 2250(209.03 sq.m.),3,3,3,9.0,,Moderately Old,flat,2250.0,,,0,0,0,0,0,0,55,750.0066666666667
capital residences 360,1.64,sector 70a,8299.0,1976.14,Super Built up area 1976(183.58 sq.m.)Built Up area: 1950 sq.ft. (181.16 sq.m.)Carpet area: 1642 sq.ft. (152.55 sq.m.),3,3,3+,4.0,North-East,New Property,flat,1976.0,1950.0,1642.0,0,1,0,0,0,0,144,658.7133333333334
shapoorji pallonji joyville gurugram,2.03,sector 102,12000.0,1691.67,Super Built up area 1692(157.19 sq.m.)Carpet area: 1027.68 sq.ft. (95.47 sq.m.),3,3,2,1.0,,New Property,flat,1692.0,,1027.68,0,0,0,0,0,0,67,563.89
tulip violet,3.05,sector 69,9664.0,3156.04,Super Built up area 3156(293.2 sq.m.),4,5,3+,14.0,South-West,Relatively New,flat,3156.0,,,0,1,0,0,1,0,49,789.01
shree vardhman flora,0.86,sector 90,6254.0,1375.12,Super Built up area 1950(181.16 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1375 sq.ft. (127.74 sq.m.),3,4,3,0.0,North,Relatively New,flat,1950.0,1525.0,1375.0,0,1,0,0,0,2,84,458.3733333333333
godrej nature plus,1.4,sector 33,15124.0,925.68,Super Built up area 145Carpet area: 86 sq.m.,3,2,3+,20.0,,New Property,flat,145.0,,86.0,0,0,0,0,0,0,70,308.56
emaar mgf palm hills,1.25,sector 77,8620.0,1450.12,Carpet area: 1450 (134.71 sq.m.),3,4,3,1.0,West,Relatively New,flat,,,1450.0,0,1,0,0,0,2,104,483.3733333333333
sobha smriti apartments,0.5,sector 56,8333.0,600.02,Carpet area: 600 (55.74 sq.m.),1,1,2,3.0,,Undefined,flat,,,600.0,0,0,0,0,0,0,0,600.02
vatika city,1.79,sector 49,12785.0,1400.08,Carpet area: 1400 (130.06 sq.m.),3,3,3,9.0,,Old Property,flat,,,1400.0,0,1,0,0,0,0,38,466.6933333333333
imperia the esfera,0.87,sector 37c,5513.0,1578.09,Super Built up area 1578(146.6 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1110 sq.ft. (103.12 sq.m.),2,3,3+,5.0,North-West,Relatively New,flat,1578.0,1300.0,1110.0,1,0,0,0,0,0,109,789.045
paras dews,1.5,sector 106,6369.0,2355.16,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,11.0,North-West,Relatively New,flat,2355.0,1535.0,1403.0,0,1,0,0,0,0,174,588.79
unitech fresco,1.88,sector 50,10479.0,1794.06,Super Built up area 1794(166.67 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,14.0,North,Moderately Old,flat,1794.0,1790.0,1450.0,0,0,0,0,1,2,174,598.02
breez global heights,0.28,sohna road,7142.0,392.05,Carpet area: 399 (37.07 sq.m.),1,1,1,4.0,,New Property,flat,,,399.0,0,0,0,0,0,1,26,392.05
paras dews,1.15,sector 106,6534.0,1760.02,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,12.0,East,Relatively New,flat,1760.0,1186.0,1130.0,1,1,0,0,0,2,174,586.6733333333333
ireo victory valley,3.49,sector 67,13000.0,2684.62,Carpet area: 2452 (227.8 sq.m.),3,3,3,19.0,South-East,Relatively New,flat,,,2452.0,0,1,0,0,0,0,103,894.8733333333333
ats triumph,1.73,sector 104,7554.0,2290.18,Super Built up area 2290(212.75 sq.m.),3,4,3+,15.0,North-East,Relatively New,flat,2290.0,,,0,1,0,0,0,0,159,763.3933333333333
godrej nature plus,1.27,sector 33,9182.0,1383.14,Super Built up area 1383(128.48 sq.m.),2,2,3+,9.0,West,Under Construction,flat,1383.0,,,0,0,0,0,0,0,38,691.57
ansal sushant residency,4.6,sector 57,17037.0,2700.0,Plot area 300(250.84 sq.m.),6,6,3,3.0,East,Old Property,house,,2700.0,,1,1,1,1,0,1,102,450.0
kw royal court,2.0,sector 39,6250.0,3200.0,Carpet area: 3200 (297.29 sq.m.),5,4,3,9.0,East,Old Property,flat,,,3200.0,0,1,0,0,0,1,49,640.0
ss residency,0.53,sector 12,4818.0,1100.04,Super Built up area 1100(102.19 sq.m.),3,3,2,2.0,,Relatively New,flat,1100.0,,,0,0,0,0,0,2,14,366.68
godrej oasis,1.38,sector 88a,6679.0,2066.18,Carpet area: 2066 (191.94 sq.m.),3,3,3+,7.0,North,Relatively New,flat,,,2066.0,0,1,0,0,0,0,72,688.7266666666666
ats triumph,1.85,sector 104,8078.0,2290.17,Super Built up area 2290(212.75 sq.m.),3,4,3+,14.0,East,Relatively New,flat,2290.0,,,1,1,1,1,0,0,117,763.39
independent,2.0,manesar,14959.0,1337.0,Plot area 1337.4(124.25 sq.m.),3,1,0,3.0,North,Moderately Old,house,,1337.4,,0,0,0,0,0,0,16,445.6666666666667
ss the leaf,2.0,sector 85,11869.0,1685.06,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3,5.0,West,Relatively New,flat,2408.0,,1685.0,0,1,0,0,0,0,156,561.6866666666666
orris carnation residency,0.88,sector 85,5952.0,1478.49,Super Built up area 1485(137.96 sq.m.),3,3,1,1.0,South,Relatively New,flat,1485.0,,,0,0,0,0,0,0,65,492.83
dlf the ultima,2.4,sector 81,11257.0,2132.01,Super Built up area 2132(198.07 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,10.0,North-West,Relatively New,flat,2132.0,1800.0,1400.0,0,1,0,0,0,1,174,710.6700000000001
ansal housing highland park,1.25,sector 103,6443.0,1940.09,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3,3,3+,2.0,North-East,New Property,flat,1940.0,,1056.0,0,0,0,1,0,0,105,646.6966666666666
independent,1.5,sohna road,14245.0,1053.0,Plot area 117(97.83 sq.m.),2,3,2,1.0,North,New Property,house,,1053.0,,1,0,0,1,0,2,69,526.5
m3m skycity,3.0,sector 65,16411.0,1828.04,Super Built up area 1828(169.83 sq.m.),3,3,3,17.0,East,Under Construction,flat,1828.0,,,0,0,0,0,0,0,99,609.3466666666667
raheja atharva,0.79,sector 109,7931.0,996.09,Super Built up area 1457(135.36 sq.m.)Carpet area: 996 sq.ft. (92.53 sq.m.),3,2,2,3.0,,Relatively New,flat,1457.0,,996.0,0,0,0,0,0,2,44,332.03000000000003
dlf new town heights,1.15,sector 90,5958.0,1930.18,Super Built up area 1930(179.3 sq.m.),3,3,3+,9.0,North-West,Relatively New,flat,1930.0,,,0,1,0,1,0,0,88,643.3933333333333
ireo victory valley,8.0,sector 67,22222.0,3600.0,Plot area 400(334.45 sq.m.),6,7,3+,51.0,North-East,Moderately Old,house,,3600.0,,1,1,0,1,0,2,49,600.0
ireo victory valley,2.95,sector 67,12235.0,2411.12,Super Built up area 2411(223.99 sq.m.)Carpet area: 1906 sq.ft. (177.07 sq.m.),3,3,3,10.0,North-West,Relatively New,flat,2411.0,,1906.0,0,1,0,0,0,2,174,803.7066666666666
shree balaji appartment,0.4,sector 33,5000.0,800.0,Super Built up area 800(74.32 sq.m.),2,2,2,1.0,,Relatively New,flat,800.0,,,0,0,0,0,0,1,0,400.0
emaar palm gardens,1.3,sector 83,11868.0,1095.38,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),3,3,3,16.0,North,Relatively New,flat,1720.0,,1095.3,0,1,0,0,0,2,174,365.1266666666667
aipl zen residences,1.25,sector 70a,9904.0,1262.12,Carpet area: 1262 (117.24 sq.m.),2,2,2,19.0,,New Property,flat,,,1262.0,0,0,0,0,0,0,42,631.06
corona optus,1.27,sector 37c,7203.0,1763.15,Super Built up area 1763(163.79 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),3,3,3,2.0,South,Relatively New,flat,1763.0,,1410.0,1,0,0,0,1,0,49,587.7166666666667
meditech apartment,2.45,sector 56,8166.0,3000.24,Super Built up area 3000(278.71 sq.m.)Built Up area: 2900 sq.ft. (269.42 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,4,3+,1.0,West,Relatively New,flat,3000.0,2900.0,2800.0,0,0,0,0,1,2,118,750.06
sagar apartment,1.45,sector 56,7250.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,7.0,South,Old Property,flat,2000.0,1900.0,1800.0,1,1,0,1,1,0,166,666.6666666666666
bptp park generations,1.5,sector 37d,9868.0,1520.06,Super Built up area 1520(141.21 sq.m.),3,2,3+,17.0,North-East,Relatively New,flat,1520.0,,,0,0,0,0,0,0,42,506.68666666666667
