society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
ireo skyon,3.6,sector 60,12815.0,4,5,3,24.0,Relatively New,flat,2604.0,0,1,0,0,0,2,49
essel towers,2.75,sector 14,12500.0,4,5,3+,8.0,Old Property,flat,2200.0,1,1,0,0,0,1,128
supertech hues,1.0,sector 68,8474.0,2,2,3,23.0,New Property,flat,1311.0,0,0,0,0,0,0,49
vipul tatvam villa,8.5,sector 48,26235.0,4,4,2,2.0,Moderately Old,house,3240.0,0,1,1,1,0,0,88
signature global city 63a,1.5,sector 63,6289.0,3,3,2,1.0,New Property,house,2385.0,0,0,0,0,0,0,0
ashiana anmol,0.93,sohna road,7294.0,2,2,2,9.0,Under Construction,flat,1000.0,0,0,0,0,1,0,31
independent,3.25,sector 56,21495.0,5,6,3+,4.0,Relatively New,house,1512.0,0,0,0,1,1,2,27
dlf the ultima,2.34,sector 81,11185.0,3,4,3+,14.0,Relatively New,flat,1760.0,0,1,0,0,0,1,174
smart world orchard,1.65,sector 61,13750.0,2,2,2,1.0,Under Construction,flat,1333.0,1,0,0,0,0,0,16
ss the leaf,2.1,sector 85,7467.0,4,4,3,7.0,Relatively New,flat,2600.0,1,1,0,1,0,0,49
hector trimurti heights,1.5,sector 39,6382.0,4,3,3,10.0,Old Property,flat,2611.0,0,1,0,0,0,1,49
umang monsoon breeze,1.2,sector 78,6493.0,3,3,2,8.0,Moderately Old,flat,2045.0,0,0,0,1,0,1,8
signature global solera,0.49,sector 107,8222.0,2,2,1,8.0,Relatively New,flat,598.0,0,0,0,0,1,1,49
independent,6.5,sector 43,35403.0,5,4,3+,3.0,Moderately Old,house,1836.0,0,1,0,1,0,2,54
m3m one key resiments,0.8,sector 67,13115.0,1,1,0,0.0,Relatively New,flat,610.0,0,0,0,0,0,0,0
independent,8.31,sector 57,24171.0,5,6,3+,4.0,Old Property,house,3438.0,1,1,1,1,0,0,34
breez global hill view,0.35,sohna road,6315.0,2,2,2,14.0,New Property,flat,616.0,0,0,0,0,0,0,53
sare green parc phase 3,0.95,sector 92,4856.0,4,3,3,4.0,Moderately Old,flat,1770.0,0,0,0,0,0,0,67
sbr minda sec 1 imt manesar,0.65,manesar,4259.0,3,2,3+,6.0,Moderately Old,flat,1696.0,0,0,0,0,0,0,5
shree vardhman mantra,0.56,sector 67,7000.0,2,2,1,8.0,New Property,flat,889.0,0,0,0,0,0,0,65
experion windchants,4.25,sector 112,11294.0,3,5,2,15.0,Relatively New,flat,3000.0,0,1,0,1,0,0,72
global hill view,0.36,sector 11,5150.0,2,2,0,15.0,Relatively New,flat,699.0,0,0,0,0,0,0,0
independent,1.0,sector 3 phase 3 extension,6667.0,1,1,0,1.0,Moderately Old,house,1500.0,0,0,0,0,0,0,0
pivotal riddhi siddhi,0.5,sector 99,8517.0,2,1,2,7.0,New Property,flat,652.0,0,0,0,0,0,0,24
godrej,1.35,sector 79,8970.0,3,3,2,7.0,Relatively New,flat,1362.0,0,0,0,0,0,0,118
ramsons kshitij,0.28,sector 95,3650.0,2,2,2,5.0,New Property,flat,694.0,0,0,0,0,1,0,0
alpha corp gurgaonone,2.24,sector 84,6523.0,4,4,3,12.0,Relatively New,flat,3165.0,0,1,0,0,0,0,20
ambience lagoon,4.25,sector 24,13281.0,3,4,3+,3.0,Old Property,flat,3201.0,0,1,1,0,0,2,131
independent,4.6,sector 31,32258.0,2,2,2,2.0,Moderately Old,house,1426.0,0,0,0,0,0,0,0
orris aster court premier,1.5,sector 85,5859.0,4,5,3+,6.0,New Property,flat,2017.0,0,1,0,0,0,2,28
ramsons kshitij,0.3,sector 95,3158.0,2,2,1,11.0,New Property,flat,950.0,0,0,0,0,0,0,0
elan the presidential,3.9,sector 106,15918.0,3,3,0,20.0,Relatively New,flat,2450.0,0,0,0,0,0,0,66
hsiidc sidco shivalik apartments,0.85,manesar,5102.0,3,2,2,5.0,Moderately Old,flat,1508.0,0,0,0,0,0,0,0
dlf the ultima,3.46,sector 81,12047.0,4,4,3+,10.0,New Property,flat,2599.0,0,1,0,0,0,1,161
experion heartsong,1.08,dwarka expressway,6150.0,3,3,0,2.0,Under Construction,flat,1758.0,0,0,0,0,0,0,0
pareena laxmi apartments,0.31,sector 99a,5904.0,2,2,2,6.0,New Property,flat,583.0,0,0,0,0,0,0,74
independent,10.85,sector 25,38150.0,6,6,1,3.0,Relatively New,house,2844.0,0,0,1,0,0,2,136
woodstock floors,1.05,sector 50,10627.0,2,2,2,2.0,Moderately Old,flat,1098.0,0,0,0,0,0,0,53
ild grand,1.2,sector 37c,6593.0,3,3,3,7.0,Under Construction,flat,1647.0,0,0,0,0,0,0,24
indiabulls centrum park,1.33,sector 103,8580.0,3,3,3+,8.0,Relatively New,flat,1671.0,1,0,0,0,0,0,150
tulip violet,1.4,sector 69,8871.0,3,3,2,11.0,Relatively New,flat,1428.0,0,0,0,1,0,0,126
smart world orchard,1.55,sector 61,13478.0,2,2,1,3.0,Under Construction,flat,1041.0,1,0,0,0,0,0,43
bestech park view grand spa,2.29,sector 81,8609.0,3,4,3+,10.0,Relatively New,flat,2315.0,1,1,0,0,0,1,174
ireo victory valley,3.65,sector 67,13528.0,3,4,3+,18.0,Relatively New,flat,2490.0,0,1,0,1,0,2,61
ss aaron ville,6.75,sector 49,15000.0,5,4,2,2.0,New Property,house,4500.0,0,0,0,0,1,0,49
dlf new town heights,1.55,sector 90,6556.0,4,4,3+,1.0,Relatively New,flat,2139.0,0,1,0,1,0,0,81
independent,1.2,sector 105,10118.0,3,2,1,2.0,Old Property,house,1185.51,0,0,0,0,0,0,9
ramprastha the edge towers,0.75,sector 37d,5319.0,2,2,3,19.0,Moderately Old,flat,1410.0,0,0,0,0,0,0,63
independent,2.4,sector 23,12000.0,3,3,2,2.0,Moderately Old,house,2000.0,0,0,1,1,0,0,28
pivotal devaan,0.34,sector 84,5831.0,2,2,1,3.0,Relatively New,flat,533.0,0,0,1,0,0,0,75
experion the heartsong,1.3,sector 108,8344.0,3,3,3+,7.0,Relatively New,flat,1661.0,1,0,0,0,0,0,150
