society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
awho shanti vihar,0.8,sector 95,8888.0,2,2,3,9.0,New Property,flat,713.0,1,0,0,0,0,0,67,"28.4172° N, 76.9081° E",28.4172,76.9081
pioneer araya,9.95,sector 62,20995.0,4,6,3,12.0,Relatively New,flat,3933.0,0,1,0,1,0,2,138,"28.4139° N, 77.0886° E",28.4139,77.0886
sanskriti apartment,1.1,sector 10a,6666.0,3,3,3,2.0,Moderately Old,flat,1833.0,0,0,0,0,0,0,22,"28.4469° N, 77.0106° E",28.4469,77.0106
dlf the skycourt,1.6,sector 86,8294.0,3,3,1,14.0,Relatively New,flat,1746.0,0,0,0,1,0,0,72,"28.3986° N, 76.9384° E",28.3986,76.9384
shivpuri,2.4,sector 7,8889.0,10,5,3,2.0,Old Property,house,2700.0,1,1,0,1,0,0,8,"28.4644° N, 77.0143° E",28.4644,77.0143
bestech park view spa next,2.35,sector 67,12144.0,3,4,3+,14.0,Moderately Old,flat,1751.0,0,1,0,0,0,2,156,"28.3859° N, 77.0608° E",28.3859,77.0608
ansal api esencia,1.2,sector 67,7407.0,3,3,2,1.0,Relatively New,flat,200.0,0,0,0,0,0,0,49,"28.3859° N, 77.0608° E",28.3859,77.0608
unitech uniworld resorts,10.0,sector 33,20202.0,5,6,3,4.0,New Property,house,4950.0,1,1,0,0,0,0,26,"28.4420° N, 77.0207° E",28.442,77.0207
nul,15.0,sector 25,23438.0,5,5,3,2.0,Moderately Old,house,6400.0,1,1,0,1,0,2,112,"28.4844° N, 77.0860° E",28.4844,77.086
indiabulls centrum park,1.15,sector 103,8679.0,2,2,3,10.0,Relatively New,flat,1080.0,1,0,0,0,0,2,174,"28.4949° N, 76.9845° E",28.4949,76.9845
emaar mgf emerald floors premier,2.25,sector 65,13636.0,3,3,3,3.0,Relatively New,flat,1600.0,1,1,0,0,0,2,49,"28.4030° N, 77.0690° E",28.403,77.069
ss,2.09,sector 85,7432.0,4,4,3,8.0,Relatively New,flat,2600.0,1,1,0,1,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
dlf regency park,1.6,sector 28,14545.0,2,2,2,3.0,Relatively New,flat,1222.0,0,0,0,0,0,0,52,"28.4728° N, 77.0865° E",28.4728,77.0865
bestech park view grand spa,4.5,sector 81,10714.0,4,6,3+,17.0,Relatively New,flat,3801.0,0,1,0,0,0,2,44,"28.3867° N, 76.9485° E",28.3867,76.9485
ireo uptown,2.4,sector 66,13064.0,3,2,3,5.0,Relatively New,flat,1700.0,0,1,0,0,0,2,156,"28.3925° N, 77.0541° E",28.3925,77.0541
spaze privy at,1.2,sector 84,7453.0,2,2,3,3.0,Relatively New,flat,1457.0,1,0,0,0,0,2,133,"28.3979° N, 76.9736° E",28.3979,76.9736
independent,1.85,sector 1,16003.0,4,3,2,3.0,Moderately Old,house,1284.0,0,0,0,0,0,0,0,"28.3663° N, 76.9456° E",28.3663,76.9456
signature global solera,0.28,sector 107,5828.0,2,2,2,0.0,Relatively New,flat,543.0,0,0,0,0,0,0,45,"28.5052° N, 76.9729° E",28.5052,76.9729
sapphire eighty three,0.4,sector 83,8547.0,1,1,1,6.0,Relatively New,flat,520.0,0,0,0,0,0,1,52,"28.3986° N, 76.9647° E",28.3986,76.9647
ss the leaf,1.78,sector 85,7392.0,3,4,3+,6.0,New Property,flat,2179.0,0,0,1,0,0,0,113,"28.4042° N, 76.9513° E",28.4042,76.9513
zara aavaas,0.22,sector 104,7302.0,1,2,2,2.0,New Property,flat,335.0,0,0,0,0,0,0,60,"28.4788° N, 76.9960° E",28.4788,76.996
zara aavaas,0.49,sector 104,6577.0,3,2,2,7.0,Under Construction,flat,695.0,0,0,0,0,0,0,74,"28.4788° N, 76.9960° E",28.4788,76.996
dlf exclusive floors,2.35,sector 43,14242.0,3,3,2,1.0,Old Property,flat,1527.0,0,0,1,0,0,2,102,"28.4629° N, 77.0772° E",28.4629,77.0772
signature global city,1.27,sector 37d,8089.0,3,3,3,4.0,Under Construction,house,1570.0,0,0,0,1,0,0,89,"28.4478° N, 76.9703° E",28.4478,76.9703
international city by sobha phase 2,11.3,sector 109,25111.0,7,5,3+,4.0,Relatively New,house,4500.0,1,1,0,1,1,0,49,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,2.15,sector 40,23889.0,3,3,3,3.0,Moderately Old,house,900.0,1,0,1,1,0,0,45,"28.4498° N, 77.0567° E",28.4498,77.0567
satya the hermitage,0.89,sector 103,6137.0,2,3,3,1.0,Relatively New,flat,1257.0,0,1,0,0,0,2,75,"28.4949° N, 76.9845° E",28.4949,76.9845
independent,0.92,sector 3,15257.0,4,1,0,1.0,Moderately Old,house,603.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
supertech araville,1.35,sector 79,6940.0,3,3,3,4.0,Relatively New,flat,2161.0,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
independent,5.5,sector 46,23061.0,8,8,3+,3.0,Moderately Old,house,2385.0,1,0,0,0,1,2,32,"28.4374° N, 77.0586° E",28.4374,77.0586
vatika the seven lamps,1.37,sector 82,8753.0,3,3,3,11.0,Relatively New,flat,2000.0,1,1,0,1,0,2,145,"28.3935° N, 76.9600° E",28.3935,76.96
hero homes,1.95,sector 104,21196.0,3,5,3+,2.0,Moderately Old,house,920.0,0,0,0,0,0,0,64,"28.4788° N, 76.9960° E",28.4788,76.996
independent,1.7,sector 12,8000.0,5,5,3,3.0,Moderately Old,house,2000.0,0,0,0,1,1,0,9,"28.4723° N, 77.0320° E",28.4723,77.032
godrej summit,1.75,sector 104,7530.0,4,5,3+,1.0,New Property,flat,2582.0,0,1,0,0,0,0,60,"28.4788° N, 76.9960° E",28.4788,76.996
ansal housing highland park,0.8,sector 103,5878.0,2,2,2,9.0,Relatively New,flat,1361.0,0,0,0,0,0,0,0,"28.4949° N, 76.9845° E",28.4949,76.9845
cghs vidya enclave,1.7,sector 56,10967.0,3,2,3,6.0,Old Property,flat,1585.0,0,0,1,0,0,0,101,"28.4245° N, 77.0991° E",28.4245,77.0991
bestech park view residency,0.56,sector 2,8632.0,1,1,2,6.0,Moderately Old,flat,723.0,0,0,0,0,0,0,77,"28.5095° N, 77.0320° E",28.5095,77.032
vatika gurgaon,1.15,sector 83,5808.0,3,3,2,3.0,Relatively New,flat,1350.0,1,1,1,1,0,2,165,"28.3986° N, 76.9647° E",28.3986,76.9647
unitech aspen greens,6.8,sector 50,31481.0,4,5,3,3.0,Old Property,house,2160.0,1,1,0,0,0,2,111,"28.4178° N, 77.0628° E",28.4178,77.0628
bptp terra,2.08,sector 37d,10000.0,4,4,3,0.0,New Property,flat,2211.0,1,1,0,1,0,0,121,"28.4478° N, 76.9703° E",28.4478,76.9703
dlf regal gardens,1.76,sector 90,7945.0,4,4,3+,8.0,Relatively New,flat,2020.0,0,0,0,0,0,2,135,"28.4085° N, 76.9369° E",28.4085,76.9369
today callidora,0.9,sector 73,5548.0,3,3,3,3.0,Under Construction,flat,1622.0,0,1,0,0,0,0,63,"28.4072° N, 77.0118° E",28.4072,77.0118
dlf the ultima,3.45,sector 81,12012.0,4,4,3+,10.0,New Property,flat,2599.0,0,1,0,0,0,1,165,"28.3867° N, 76.9485° E",28.3867,76.9485
puri the aravallis,3.9,sector 61,33209.0,3,4,3+,33.0,Under Construction,flat,1174.38,0,1,0,0,0,0,158,"28.4050° N, 77.0963° E",28.405,77.0963
ss the leaf,1.75,sector 85,7267.0,3,4,3,8.0,Relatively New,flat,2179.0,0,1,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
godrej summit,1.3,sector 104,9027.0,3,2,3+,16.0,Relatively New,flat,1303.0,1,0,1,1,0,2,0,"28.4788° N, 76.9960° E",28.4788,76.996
independent,5.5,sector 43,28424.0,1,1,0,1.0,Old Property,house,1935.0,0,0,0,0,1,0,12,"28.4629° N, 77.0772° E",28.4629,77.0772
independent,5.0,sector 55,44444.0,2,9,3+,5.0,New Property,house,1125.0,0,0,0,0,1,2,44,"28.4281° N, 77.1100° E",28.4281,77.11
independent,4.5,sector 28,13889.0,4,4,0,4.0,Relatively New,house,3240.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
s aradhya homes,1.9,sector 67a,8863.0,4,4,3,3.0,New Property,flat,1991.0,0,0,0,0,0,2,62,"28.3960° N, 77.0372° E",28.396,77.0372
independent,6.75,sector 26,27778.0,3,3,3,2.0,Moderately Old,house,2430.0,0,0,0,0,0,0,27,"28.4757° N, 77.1032° E",28.4757,77.1032
ireo skyon,2.85,sector 60,13936.0,3,4,3+,5.0,Relatively New,flat,2045.06,0,1,0,0,0,2,174,"28.4003° N, 77.0975° E",28.4003,77.0975
chd avenue,1.12,sector 71,6215.0,3,4,3,0.0,Moderately Old,flat,1631.0,0,1,0,0,0,0,65,"28.4104° N, 77.0281° E",28.4104,77.0281
vatika signature villas,3.2,sector 82,14350.0,3,4,3,1.0,New Property,house,2160.0,1,1,1,1,0,0,66,"28.3935° N, 76.9600° E",28.3935,76.96
ss,2.17,sector 85,7716.0,4,4,3,7.0,Relatively New,flat,2600.0,1,1,0,1,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
ss the leaf,1.09,sector 85,6661.0,2,2,3,5.0,Relatively New,flat,1475.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
unitech espace,7.5,sector 50,34722.0,3,3,2,2.0,Moderately Old,house,2160.0,0,1,0,0,0,2,66,"28.4178° N, 77.0628° E",28.4178,77.0628
signature global solera,0.51,sector 107,7906.0,3,2,2,9.0,Relatively New,flat,717.0,0,0,0,0,1,0,15,"28.5052° N, 76.9729° E",28.5052,76.9729
experion the heartsong,0.98,sector 108,13343.0,2,3,3,12.0,Relatively New,flat,978.223232,1,1,1,1,0,2,31,"28.5134° N, 76.9830° E",28.5134,76.983
shree vardhman victoria,1.78,sector 70,9128.0,3,3,3+,7.0,Relatively New,flat,1765.0,0,1,0,0,1,0,49,"28.3968° N, 77.0233° E",28.3968,77.0233
ireo skyon,3.6,sector 60,12815.0,4,5,3,24.0,Relatively New,flat,2604.0,0,1,0,0,0,2,49,"28.4003° N, 77.0975° E",28.4003,77.0975
essel towers,2.75,sector 14,12500.0,4,5,3+,8.0,Old Property,flat,2200.0,1,1,0,0,0,1,128,"28.4711° N, 77.0454° E",28.4711,77.0454
supertech hues,1.0,sector 68,8474.0,2,2,3,23.0,New Property,flat,1311.0,0,0,0,0,0,0,49,"28.3853° N, 77.0484° E",28.3853,77.0484
vipul tatvam villa,8.5,sector 48,26235.0,4,4,2,2.0,Moderately Old,house,3240.0,0,1,1,1,0,0,88,"28.4177° N, 77.0359° E",28.4177,77.0359
signature global city 63a,1.5,sector 63,6289.0,3,3,2,1.0,New Property,house,2385.0,0,0,0,0,0,0,0,"28.3971° N, 77.0867° E",28.3971,77.0867
independent,3.25,sector 56,21495.0,5,6,3+,4.0,Relatively New,house,1512.0,0,0,0,1,1,2,27,"28.4245° N, 77.0991° E",28.4245,77.0991
dlf the ultima,2.34,sector 81,11185.0,3,4,3+,14.0,Relatively New,flat,1760.0,0,1,0,0,0,1,174,"28.3867° N, 76.9485° E",28.3867,76.9485
smart world orchard,1.65,sector 61,13750.0,2,2,2,1.0,Under Construction,flat,1333.0,1,0,0,0,0,0,16,"28.4050° N, 77.0963° E",28.405,77.0963
ss the leaf,2.1,sector 85,7467.0,4,4,3,7.0,Relatively New,flat,2600.0,1,1,0,1,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
