sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
86.0,3,3,3.0,4.0,0.0,1622.0,1,0,0,2.0,2.0,0.9
94.0,4,4,4.0,1.0,0.0,2599.0,1,0,1,0.0,2.0,3.45
71.0,3,4,4.0,4.0,0.0,1174.38,1,0,0,0.0,0.0,3.9
99.0,3,4,3.0,3.0,0.0,2179.0,1,0,0,1.0,2.0,1.75
8.0,3,2,4.0,3.0,0.0,1303.0,0,1,2,1.0,0.0,1.3
52.0,1,1,0.0,2.0,1.0,1935.0,0,0,0,1.0,1.0,5.5
64.0,2,9,4.0,1.0,1.0,1125.0,0,0,2,1.0,2.0,5.0
35.0,4,4,0.0,3.0,1.0,3240.0,0,0,0,1.0,2.0,4.5
78.0,4,4,3.0,1.0,0.0,1991.0,0,0,2,2.0,2.0,1.9
33.0,3,3,3.0,0.0,1.0,2430.0,0,0,0,1.0,1.0,6.75
43.0,2,2,2.0,3.0,0.0,1479.0,0,0,0,2.0,0.0,2.3
70.0,3,4,4.0,3.0,0.0,2045.06,1,0,2,0.0,2.0,2.85
84.0,3,4,3.0,0.0,0.0,1631.0,1,0,0,2.0,1.0,1.12
95.0,3,4,3.0,1.0,1.0,2160.0,1,1,0,2.0,1.0,3.2
99.0,4,4,3.0,3.0,0.0,2600.0,1,0,0,1.0,2.0,2.17
99.0,2,2,3.0,3.0,0.0,1475.0,0,0,0,1.0,2.0,1.09
59.0,3,3,2.0,0.0,1.0,2160.0,1,0,2,2.0,1.0,7.5
11.0,3,2,2.0,3.0,0.0,717.0,0,0,0,1.0,2.0,0.51
12.0,2,3,3.0,3.0,0.0,978.223232,1,1,2,1.0,0.0,0.98
113.0,2,2,2.0,3.0,0.0,800.0,0,0,1,2.0,2.0,0.46
82.0,3,3,4.0,3.0,0.0,1765.0,1,0,0,1.0,2.0,1.78
70.0,4,5,3.0,3.0,0.0,2604.0,1,0,2,1.0,0.0,3.6
22.0,4,5,4.0,2.0,0.0,2200.0,1,0,1,2.0,2.0,2.75
79.0,2,2,3.0,1.0,0.0,1311.0,0,0,0,1.0,0.0,1.0
56.0,4,4,2.0,0.0,1.0,3240.0,1,1,0,2.0,1.0,8.5
73.0,3,3,2.0,1.0,1.0,2385.0,0,0,0,1.0,1.0,1.5
113.0,2,2,2.0,4.0,0.0,1000.0,0,0,0,1.0,2.0,0.93
65.0,5,6,4.0,3.0,1.0,1512.0,0,0,2,1.0,2.0,3.25
94.0,3,4,4.0,3.0,0.0,1760.0,1,0,1,0.0,0.0,2.34
71.0,2,2,2.0,4.0,0.0,1333.0,0,0,0,1.0,1.0,1.65
99.0,4,4,3.0,3.0,0.0,2600.0,1,0,0,1.0,2.0,2.1
48.0,4,3,3.0,2.0,0.0,2611.0,1,0,1,1.0,2.0,1.5
90.0,3,3,2.0,0.0,0.0,2045.0,0,0,1,1.0,2.0,1.2
11.0,2,2,1.0,3.0,0.0,598.0,0,0,1,1.0,2.0,0.49
52.0,5,4,4.0,0.0,1.0,1836.0,1,0,2,2.0,2.0,6.5
77.0,1,1,0.0,3.0,0.0,610.0,0,0,0,1.0,1.0,0.8
66.0,5,6,4.0,2.0,1.0,3438.0,1,1,0,1.0,2.0,8.31
113.0,2,2,2.0,1.0,0.0,616.0,0,0,0,2.0,0.0,0.35
107.0,4,3,3.0,0.0,0.0,1770.0,0,0,0,2.0,2.0,0.95
2.0,3,2,4.0,0.0,0.0,1696.0,0,0,0,1.0,2.0,0.65
77.0,2,2,1.0,1.0,0.0,889.0,0,0,0,2.0,2.0,0.56
