price,sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
1.5,sector 85,4,5,3+,New Property,flat,2017.0,1,0,2,Low,Mid Floor
0.3,sector 95,2,2,1,New Property,flat,950.0,0,0,0,Low,High Floor
3.9,sector 106,3,3,0,Relatively New,flat,2450.0,0,0,0,Medium,High Floor
0.85,manesar,3,2,2,Moderately Old,flat,1508.0,0,0,0,Low,Mid Floor
3.46,sector 81,4,4,3+,New Property,flat,2599.0,1,0,1,High,Mid Floor
1.08,dwarka expressway,3,3,0,Under Construction,flat,1758.0,0,0,0,Low,Low Floor
0.31,sector 99a,2,2,2,New Property,flat,583.0,0,0,0,Medium,Mid Floor
10.85,sector 25,6,6,1,Relatively New,house,2844.0,0,1,2,Medium,Mid Floor
1.05,sector 50,2,2,2,Moderately Old,flat,1098.0,0,0,0,Medium,Low Floor
1.2,sector 37c,3,3,3,Under Construction,flat,1647.0,0,0,0,Low,Mid Floor
1.33,sector 103,3,3,3+,Relatively New,flat,1671.0,0,0,0,High,Mid Floor
1.4,sector 69,3,3,2,Relatively New,flat,1428.0,0,0,0,Medium,High Floor
1.55,sector 61,2,2,1,Under Construction,flat,1041.0,0,0,0,Low,Mid Floor
2.29,sector 81,3,4,3+,Relatively New,flat,2315.0,1,0,1,High,Mid Floor
3.65,sector 67,3,4,3+,Relatively New,flat,2490.0,1,0,2,Medium,High Floor
6.75,sector 49,5,4,2,New Property,house,4500.0,0,0,0,Low,Low Floor
1.55,sector 90,4,4,3+,Relatively New,flat,2139.0,1,0,0,Medium,Low Floor
1.2,sector 105,3,2,1,Old Property,house,1185.51,0,0,0,Low,Low Floor
0.75,sector 37d,2,2,3,Moderately Old,flat,1410.0,0,0,0,Medium,High Floor
2.4,sector 23,3,3,2,Moderately Old,house,2000.0,0,1,0,Low,Low Floor
0.34,sector 84,2,2,1,Relatively New,flat,533.0,0,1,0,Medium,Mid Floor
1.3,sector 108,3,3,3+,Relatively New,flat,1661.0,0,0,0,High,Mid Floor
0.9,sector 78,3,3,2,Moderately Old,flat,1900.0,1,0,0,Medium,Low Floor
0.78,sohna road,3,3,3,Relatively New,flat,1344.0,0,0,0,High,Low Floor
1.2,sector 104,3,2,3+,Relatively New,flat,1607.0,0,0,2,Medium,High Floor
0.65,sector 108,2,2,2,Relatively New,flat,1235.0,0,0,2,High,Mid Floor
1.7,sector 61,2,2,2,Under Construction,flat,1278.0,0,0,0,Low,Mid Floor
1.15,sector 83,3,2,3,Relatively New,flat,1588.0,0,0,0,Low,High Floor
0.54,sohna road,2,2,2,Relatively New,flat,939.0,0,0,0,High,Mid Floor
9.2,sector 62,4,6,3,Relatively New,flat,3867.0,1,0,2,High,Mid Floor
0.8,sector 92,3,3,3,Relatively New,flat,1692.0,0,0,2,Medium,Mid Floor
5.5,sector 23,9,9,3+,Moderately Old,house,4200.0,1,0,2,Low,Mid Floor
0.29,sohna road,2,2,1,Relatively New,flat,577.0,0,0,0,Low,Mid Floor
1.1,sector 37d,3,3,3,Relatively New,flat,1990.0,0,0,0,Medium,Mid Floor
1.55,sector 69,3,3,2,Relatively New,flat,1428.0,0,0,0,Medium,Mid Floor
4.5,sector 24,2,8,3+,Relatively New,house,1350.0,1,1,2,Medium,Mid Floor
1.78,sector 90,4,4,3+,Relatively New,flat,2005.0,0,0,0,Medium,High Floor
1.92,sector 76,3,3,2,Under Construction,flat,1628.0,0,0,0,Medium,Mid Floor
0.3,sohna road,2,2,2,Relatively New,flat,711.0,0,0,0,Low,Mid Floor
1.65,sector 70,3,3,2,Relatively New,flat,2167.0,0,0,0,Medium,Mid Floor
1.3,sector 93,3,2,1,Relatively New,house,1152.0,0,0,0,Medium,Mid Floor
1.65,sector 37d,3,3,2,Relatively New,flat,1699.0,0,0,0,Medium,High Floor
1.1,sector 89,3,2,3,New Property,flat,1550.0,0,0,0,Low,Mid Floor
0.9,sector 90,3,4,3,Relatively New,flat,1765.0,1,0,0,High,Mid Floor
0.37,sector 84,2,2,1,Relatively New,flat,532.0,0,0,0,Medium,Mid Floor
1.5,manesar,4,5,3+,New Property,flat,2135.0,1,0,0,Low,Mid Floor
6.5,sector 70a,4,4,3+,New Property,house,2332.0,1,0,2,High,Low Floor
1.51,sector 2,3,4,3+,Moderately Old,flat,1738.0,1,0,2,Medium,Mid Floor
0.65,sector 4,2,1,1,Moderately Old,house,500.0,0,0,0,Low,Mid Floor
3.79,sector 110,5,5,3,Relatively New,flat,3466.0,1,0,0,Medium,Mid Floor
2.3,sector 70a,3,3,3,Relatively New,flat,1946.0,0,1,2,Medium,Mid Floor
2.8,sector 65,4,4,3,Relatively New,flat,1650.07,0,0,2,Medium,Low Floor
1.2,sector 7,2,4,2,Old Property,house,1072.0,0,0,0,Low,Mid Floor
6.75,sector 59,4,4,2,New Property,flat,2567.0,1,0,0,Low,Mid Floor
1.53,gwal pahari,3,3,3,New Property,flat,1589.0,0,0,2,Medium,Low Floor
6.4,sector 48,4,4,3,Moderately Old,house,2700.0,1,1,2,High,Mid Floor
4.49,sector 63,4,4,3+,New Property,flat,3149.99,0,0,2,Medium,Mid Floor
2.1,sector 49,3,3,3,Moderately Old,flat,1604.25,0,0,2,Medium,Mid Floor
0.46,sector 95,2,2,0,New Property,flat,990.0,0,0,0,Low,Mid Floor
12.0,sector 28,4,5,3+,Relatively New,house,2844.0,1,1,2,Medium,Mid Floor
